Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
054   	001	-	5,000000	0,592920	33,827415	0,149542	0,992647	0,792899	0,592920	0,592920	1,000000	1,000000
055   	001	-	6,000000	0,898230	1,238741	0,045129	0,795122	0,958580	0,716814	0,716814	0,798030	0,798030
056   	001	-	4,000000	0,907080	1,106921	0,042936	0,792271	0,964497	0,721239	0,721239	0,795122	0,795122
057   	001	-	4,000000	0,592920	33,827415	0,149542	0,992647	0,792899	0,592920	0,592920	1,000000	1,000000
058   	001	-	6,000000	0,898230	1,238741	0,045129	0,795122	0,958580	0,716814	0,716814	0,798030	0,798030
059   	001	-	4,000000	0,592920	33,827415	0,149542	0,992647	0,792899	0,592920	0,592920	1,000000	1,000000
060   	001	-	4,000000	0,592920	33,827415	0,149542	0,992647	0,792899	0,592920	0,592920	1,000000	1,000000
061   	001	-	4,000000	0,986726	0,052433	0,009926	0,755556	1,000000	0,747788	0,747788	0,757848	0,757848
062   	001	-	3,000000	0,955752	0,327449	0,024238	0,770642	0,988166	0,738938	0,738938	0,773148	0,773148
063   	001	-	3,000000	0,955752	0,327449	0,024238	0,770642	0,988166	0,738938	0,738938	0,773148	0,773148
064   	001	-	4,000000	0,592920	33,827415	0,149542	0,992647	0,792899	0,592920	0,592920	1,000000	1,000000
065   	001	-	11,000000	0,761062	3,480391	0,068055	0,833333	0,852071	0,637168	0,637168	0,837209	0,837209
066   	001	-	7,000000	0,871681	2,005882	0,056132	0,809045	0,946746	0,707965	0,707965	0,812183	0,812183
067   	001	-	9,000000	0,858407	2,476832	0,061634	0,816327	0,940828	0,703540	0,703540	0,819588	0,819588
068   	001	-	6,000000	0,592920	33,827415	0,149542	0,992647	0,792899	0,592920	0,592920	1,000000	1,000000
069   	001	-	6,000000	0,938053	0,626312	0,033049	0,780374	0,982249	0,734513	0,734513	0,783019	0,783019
070   	001	-	11,000000	0,730088	4,296918	0,073518	0,844311	0,828402	0,619469	0,619469	0,848485	0,848485
071   	001	-	6,000000	0,592920	33,827415	0,149542	0,992647	0,792899	0,592920	0,592920	1,000000	1,000000
072   	001	-	4,000000	0,592920	33,827415	0,149542	0,992647	0,792899	0,592920	0,592920	1,000000	1,000000
073   	001	-	12,000000	0,761062	3,480391	0,068055	0,833333	0,852071	0,637168	0,637168	0,837209	0,837209
074   	001	-	11,000000	0,761062	3,480391	0,068055	0,833333	0,852071	0,637168	0,637168	0,837209	0,837209
075   	001	-	4,000000	0,884956	1,594591	0,050630	0,801980	0,952663	0,712389	0,712389	0,805000	0,805000
-    	- 	076	19,684210	0,450454	36,139767	0,147163	0,865069	0,946358	1,000000	0,391476	0,873842	0,873842
