Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	5,000000	0,038462	11,592836	0,027031	0,923077	0,129412	0,038462	0,038462	1,000000	1,000000
001   	000	-	4,000000	0,003497	1,053894	0,002457	0,666667	0,011765	0,003497	0,003497	1,000000	1,000000
002   	000	-	4,000000	0,010490	3,161683	0,007372	0,800000	0,035294	0,010490	0,010490	1,000000	1,000000
003   	000	-	5,000000	0,006993	2,107788	0,004915	0,750000	0,023529	0,006993	0,006993	1,000000	1,000000
004   	000	-	7,000000	0,010490	3,161683	0,007372	0,800000	0,035294	0,010490	0,010490	1,000000	1,000000
005   	000	-	4,000000	0,013986	4,215577	0,009829	0,833333	0,047059	0,013986	0,013986	1,000000	1,000000
006   	001	-	2,000000	0,762238	1,150311	0,037728	0,750000	0,815920	0,573427	0,573427	0,752294	0,752294
007   	001	-	2,000000	0,804196	1,950294	0,050198	0,762931	0,875622	0,615385	0,615385	0,765217	0,765217
-    	- 	008	4,125000	0,206294	3,549258	0,018363	0,785751	0,246737	0,727273	0,159091	0,939689	0,939689
