Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	28.000000	0.305310	43.536858	0.175210	0.816901	1.000000	0.252212	0.252212	0.826087	0.826087
001   	000	-	20.000000	0.278761	49.680786	0.177481	0.876923	0.982456	0.247788	0.247788	0.888889	0.888889
002   	000	-	27.000000	0.305310	43.536858	0.175210	0.816901	1.000000	0.252212	0.252212	0.826087	0.826087
003   	000	-	23.000000	0.278761	49.680786	0.177481	0.876923	0.982456	0.247788	0.247788	0.888889	0.888889
004   	000	-	28.000000	0.305310	43.536858	0.175210	0.816901	1.000000	0.252212	0.252212	0.826087	0.826087
005   	000	-	25.000000	0.278761	49.680786	0.177481	0.876923	0.982456	0.247788	0.247788	0.888889	0.888889
006   	000	-	24.000000	0.278761	49.680786	0.177481	0.876923	0.982456	0.247788	0.247788	0.888889	0.888889
007   	000	-	29.000000	0.305310	43.536858	0.175210	0.816901	1.000000	0.252212	0.252212	0.826087	0.826087
008   	000	-	26.000000	0.305310	43.536858	0.175210	0.816901	1.000000	0.252212	0.252212	0.826087	0.826087
009   	000	-	24.000000	0.278761	49.680786	0.177481	0.876923	0.982456	0.247788	0.247788	0.888889	0.888889
010   	000	-	21.000000	0.278761	49.680786	0.177481	0.876923	0.982456	0.247788	0.247788	0.888889	0.888889
011   	000	-	26.000000	0.305310	43.536858	0.175210	0.816901	1.000000	0.252212	0.252212	0.826087	0.826087
012   	000	-	29.000000	0.278761	49.680786	0.177481	0.876923	0.982456	0.247788	0.247788	0.888889	0.888889
013   	000	-	27.000000	0.305310	43.536858	0.175210	0.816901	1.000000	0.252212	0.252212	0.826087	0.826087
014   	000	-	25.000000	0.305310	43.536858	0.175210	0.816901	1.000000	0.252212	0.252212	0.826087	0.826087
015   	000	-	23.000000	0.305310	43.536858	0.175210	0.816901	1.000000	0.252212	0.252212	0.826087	0.826087
016   	000	-	22.000000	0.278761	49.680786	0.177481	0.876923	0.982456	0.247788	0.247788	0.888889	0.888889
017   	000	-	27.000000	0.305310	43.536858	0.175210	0.816901	1.000000	0.252212	0.252212	0.826087	0.826087
018   	000	-	25.000000	0.278761	49.680786	0.177481	0.876923	0.982456	0.247788	0.247788	0.888889	0.888889
019   	000	-	22.000000	0.305310	43.536858	0.175210	0.816901	1.000000	0.252212	0.252212	0.826087	0.826087
020   	000	-	24.000000	0.278761	49.680786	0.177481	0.876923	0.982456	0.247788	0.247788	0.888889	0.888889
021   	000	-	26.000000	0.305310	43.536858	0.175210	0.816901	1.000000	0.252212	0.252212	0.826087	0.826087
022   	000	-	26.000000	0.278761	49.680786	0.177481	0.876923	0.982456	0.247788	0.247788	0.888889	0.888889
023   	000	-	25.000000	0.278761	49.680786	0.177481	0.876923	0.982456	0.247788	0.247788	0.888889	0.888889
024   	000	-	24.000000	0.305310	43.536858	0.175210	0.816901	1.000000	0.252212	0.252212	0.826087	0.826087
025   	000	-	27.000000	0.278761	49.680786	0.177481	0.876923	0.982456	0.247788	0.247788	0.888889	0.888889
026   	000	-	29.000000	0.305310	43.536858	0.175210	0.816901	1.000000	0.252212	0.252212	0.826087	0.826087
027   	000	-	24.000000	0.305310	43.536858	0.175210	0.816901	1.000000	0.252212	0.252212	0.826087	0.826087
028   	000	-	25.000000	0.278761	49.680786	0.177481	0.876923	0.982456	0.247788	0.247788	0.888889	0.888889
029   	000	-	24.000000	0.305310	43.536858	0.175210	0.816901	1.000000	0.252212	0.252212	0.826087	0.826087
030   	000	-	18.000000	0.278761	49.680786	0.177481	0.876923	0.982456	0.247788	0.247788	0.888889	0.888889
031   	000	-	26.000000	0.305310	43.536858	0.175210	0.816901	1.000000	0.252212	0.252212	0.826087	0.826087
032   	000	-	23.000000	0.305310	43.536858	0.175210	0.816901	1.000000	0.252212	0.252212	0.826087	0.826087
